Superficie construida,Habitaciones,Baños,Estado,Armarios empotrados,Calefacción,Distrito,Precio,Terraza_Balcon
138.0,3.0,3.0,1.0,1.0,1.0,5.0,385000.0,1.0
130.0,2.0,2.0,0.0,1.0,6.0,9.0,385000.0,1.0
70.0,3.0,2.0,1.0,1.0,1.0,1.0,180000.0,1.0
132.0,3.0,2.0,1.0,1.0,6.0,0.0,355000.0,3.0
105.0,4.0,2.0,1.0,0.0,7.0,7.0,295000.0,0.0
89.0,3.0,2.0,1.0,0.0,7.0,10.0,180000.0,0.0
200.0,4.0,3.0,1.0,1.0,6.0,6.0,875000.0,2.0
122.0,4.0,2.0,1.0,1.0,3.0,8.0,295000.0,1.0
142.0,3.0,3.0,1.0,0.0,7.0,10.0,279000.0,3.0
62.0,2.0,2.0,1.0,0.0,3.0,7.0,187500.0,0.0
87.0,2.0,2.0,1.0,1.0,2.0,4.0,295000.0,1.0
155.0,3.0,2.0,1.0,1.0,1.0,5.0,535000.0,3.0
120.0,3.0,2.0,1.0,1.0,6.0,4.0,335000.0,3.0
166.0,4.0,3.0,1.0,1.0,5.0,4.0,685000.0,2.0
262.0,2.0,2.0,1.0,1.0,4.0,5.0,549000.0,1.0
320.0,3.0,2.0,1.0,1.0,5.0,4.0,1200000.0,3.0
140.0,3.0,2.0,1.0,1.0,6.0,5.0,498000.0,0.0
152.0,3.0,2.0,1.0,1.0,4.0,3.0,650000.0,1.0
112.0,3.0,2.0,1.0,0.0,2.0,14.0,790000.0,2.0
143.0,4.0,2.0,0.0,1.0,0.0,7.0,380000.0,1.0
299.0,4.0,3.0,1.0,1.0,3.0,6.0,950000.0,3.0
145.0,4.0,2.0,1.0,1.0,2.0,5.0,985000.0,3.0
92.0,2.0,2.0,1.0,1.0,3.0,5.0,350000.0,2.0
110.0,4.0,2.0,1.0,1.0,6.0,7.0,320000.0,1.0
172.0,4.0,2.0,1.0,1.0,3.0,5.0,629000.0,1.0
93.0,3.0,2.0,1.0,0.0,4.0,5.0,356000.0,3.0
263.0,6.0,3.0,0.0,1.0,6.0,9.0,715000.0,1.0
278.0,5.0,4.0,1.0,0.0,6.0,6.0,750000.0,3.0
160.0,5.0,2.0,1.0,0.0,7.0,5.0,425000.0,1.0
237.0,5.0,4.0,1.0,1.0,3.0,9.0,995000.0,0.0
138.0,3.0,3.0,1.0,0.0,7.0,3.0,335000.0,2.0
141.0,4.0,2.0,1.0,0.0,6.0,9.0,575000.0,1.0
398.0,5.0,6.0,1.0,1.0,6.0,9.0,3200000.0,3.0
144.0,4.0,2.0,1.0,1.0,6.0,7.0,420000.0,1.0
133.0,4.0,2.0,0.0,1.0,6.0,7.0,390000.0,1.0
130.0,2.0,2.0,0.0,1.0,6.0,9.0,385000.0,1.0
217.0,4.0,3.0,1.0,1.0,6.0,5.0,850000.0,3.0
125.0,2.0,2.0,1.0,1.0,6.0,5.0,750000.0,3.0
125.0,2.0,2.0,1.0,1.0,4.0,5.0,600000.0,3.0
125.0,2.0,2.0,1.0,1.0,6.0,5.0,750000.0,3.0
76.0,2.0,2.0,0.0,1.0,7.0,3.0,180000.0,1.0
231.0,3.0,3.0,1.0,1.0,3.0,5.0,1400000.0,3.0
243.0,5.0,3.0,0.0,0.0,6.0,9.0,899500.0,3.0
135.0,4.0,2.0,0.0,0.0,6.0,7.0,410000.0,0.0
105.0,3.0,2.0,1.0,1.0,3.0,9.0,475000.0,3.0
136.0,2.0,3.0,1.0,0.0,7.0,9.0,600000.0,0.0
130.0,4.0,3.0,1.0,1.0,2.0,4.0,430000.0,2.0
184.0,4.0,3.0,1.0,1.0,2.0,5.0,1200000.0,3.0
274.0,6.0,3.0,0.0,0.0,6.0,5.0,688333.0,2.0
155.0,5.0,2.0,1.0,0.0,7.0,9.0,570000.0,0.0
210.0,6.0,3.0,0.0,1.0,7.0,7.0,480000.0,3.0
135.0,4.0,2.0,1.0,1.0,2.0,14.0,299900.0,0.0
140.0,4.0,2.0,0.0,0.0,7.0,7.0,340000.0,1.0
315.0,7.0,3.0,1.0,0.0,6.0,6.0,1065000.0,2.0
95.0,3.0,2.0,1.0,1.0,7.0,8.0,324900.0,2.0
168.0,4.0,2.0,1.0,1.0,4.0,5.0,692000.0,1.0
118.0,3.0,2.0,1.0,1.0,4.0,3.0,475000.0,1.0
150.0,3.0,2.0,1.0,1.0,6.0,3.0,470000.0,3.0
80.0,3.0,2.0,1.0,0.0,1.0,11.0,175000.0,2.0
129.0,3.0,2.0,1.0,1.0,5.0,7.0,560000.0,0.0
80.0,2.0,2.0,1.0,0.0,4.0,7.0,350000.0,1.0
91.0,2.0,2.0,1.0,1.0,4.0,15.0,355000.0,1.0
91.0,3.0,2.0,1.0,1.0,7.0,14.0,193000.0,1.0
119.0,2.0,2.0,1.0,0.0,7.0,5.0,950000.0,0.0
216.0,5.0,2.0,1.0,1.0,5.0,7.0,500000.0,1.0
169.0,4.0,2.0,1.0,1.0,1.0,14.0,258000.0,3.0
64.0,2.0,2.0,1.0,0.0,3.0,12.0,285000.0,0.0
172.0,3.0,2.0,1.0,1.0,6.0,5.0,525000.0,3.0
136.0,5.0,2.0,0.0,1.0,6.0,5.0,430000.0,0.0
205.0,5.0,3.0,1.0,1.0,3.0,4.0,925000.0,3.0
66.0,3.0,2.0,1.0,0.0,7.0,3.0,170000.0,1.0
136.0,5.0,2.0,0.0,0.0,3.0,9.0,745000.0,0.0
210.0,6.0,3.0,0.0,1.0,0.0,7.0,480000.0,3.0
161.0,4.0,2.0,1.0,1.0,1.0,4.0,599000.0,2.0
120.0,3.0,2.0,1.0,1.0,1.0,5.0,535000.0,1.0
1.136,6.0,6.0,0.0,0.0,7.0,5.0,2150000.0,1.0
65.0,2.0,2.0,1.0,1.0,7.0,3.0,250000.0,2.0
144.0,2.0,2.0,1.0,1.0,3.0,9.0,1100000.0,3.0
99.0,3.0,2.0,1.0,1.0,7.0,1.0,240000.0,1.0
299.0,4.0,5.0,1.0,1.0,3.0,14.0,1410000.0,3.0
113.0,4.0,2.0,1.0,1.0,4.0,4.0,275000.0,1.0
274.0,4.0,4.0,1.0,1.0,4.0,15.0,995000.0,2.0
147.0,4.0,2.0,1.0,1.0,6.0,3.0,599000.0,3.0
60.0,3.0,2.0,1.0,1.0,3.0,8.0,250000.0,2.0
308.0,4.0,3.0,1.0,0.0,6.0,5.0,1200000.0,2.0
314.0,4.0,3.0,1.0,1.0,3.0,6.0,1300000.0,3.0
208.0,3.0,3.0,1.0,0.0,6.0,9.0,2150000.0,0.0
157.0,4.0,2.0,1.0,0.0,6.0,6.0,450000.0,1.0
163.0,3.0,2.0,1.0,1.0,6.0,9.0,1150000.0,2.0
117.0,3.0,2.0,1.0,0.0,0.0,11.0,360000.0,1.0
261.0,5.0,3.0,1.0,0.0,6.0,9.0,690000.0,0.0
286.0,4.0,4.0,1.0,1.0,7.0,5.0,1250000.0,0.0
348.0,4.0,2.0,1.0,0.0,5.0,4.0,1440000.0,3.0
240.0,3.0,3.0,1.0,1.0,4.0,7.0,800000.0,3.0
157.0,4.0,2.0,1.0,0.0,6.0,6.0,450000.0,1.0
240.0,3.0,3.0,1.0,1.0,4.0,7.0,800000.0,3.0
261.0,5.0,3.0,1.0,0.0,6.0,9.0,690000.0,0.0
286.0,4.0,4.0,1.0,1.0,7.0,5.0,1250000.0,0.0
163.0,3.0,2.0,1.0,1.0,6.0,9.0,1150000.0,2.0
86.0,3.0,2.0,1.0,0.0,7.0,15.0,124500.0,1.0
300.0,4.0,2.0,1.0,1.0,6.0,4.0,1390000.0,2.0
190.0,4.0,3.0,1.0,0.0,2.0,14.0,785000.0,3.0
130.0,3.0,2.0,0.0,0.0,0.0,9.0,745000.0,2.0
156.0,3.0,2.0,1.0,1.0,0.0,9.0,850000.0,2.0
261.0,5.0,3.0,0.0,1.0,0.0,9.0,690000.0,0.0
234.0,4.0,2.0,0.0,0.0,0.0,9.0,999000.0,2.0
256.0,6.0,3.0,1.0,1.0,0.0,5.0,655000.0,3.0
254.0,3.0,2.0,1.0,1.0,0.0,5.0,1300000.0,0.0
192.0,3.0,2.0,1.0,1.0,0.0,4.0,1100000.0,3.0
254.0,3.0,2.0,1.0,1.0,3.0,5.0,1300000.0,0.0
250.0,4.0,3.0,1.0,1.0,6.0,9.0,1050000.0,1.0
299.0,4.0,2.0,1.0,1.0,0.0,9.0,1100000.0,1.0
68.0,3.0,2.0,1.0,0.0,7.0,14.0,169000.0,0.0
120.0,2.0,2.0,1.0,0.0,3.0,1.0,180000.0,3.0
269.0,4.0,3.0,1.0,1.0,4.0,9.0,995000.0,0.0
158.0,3.0,2.0,1.0,1.0,6.0,5.0,650000.0,0.0
264.0,5.0,4.0,0.0,1.0,7.0,5.0,870000.0,1.0
342.0,6.0,4.0,1.0,1.0,6.0,5.0,1350000.0,0.0
170.0,4.0,2.0,1.0,1.0,4.0,5.0,575000.0,1.0
189.0,3.0,2.0,1.0,1.0,6.0,5.0,700000.0,1.0
105.0,3.0,2.0,1.0,1.0,5.0,9.0,475000.0,2.0
264.0,5.0,4.0,0.0,1.0,7.0,5.0,870000.0,1.0
175.0,4.0,2.0,1.0,1.0,6.0,10.0,444900.0,2.0
180.0,4.0,2.0,1.0,1.0,6.0,7.0,650000.0,1.0
80.0,3.0,2.0,1.0,1.0,4.0,10.0,170000.0,0.0
114.0,4.0,2.0,1.0,0.0,6.0,4.0,230000.0,1.0
364.0,4.0,3.0,1.0,0.0,6.0,9.0,2200000.0,1.0
147.0,3.0,2.0,1.0,1.0,3.0,3.0,350000.0,1.0
73.0,3.0,2.0,1.0,0.0,7.0,1.0,109900.0,1.0
130.0,3.0,2.0,1.0,1.0,1.0,9.0,759000.0,1.0
155.0,4.0,3.0,1.0,1.0,3.0,5.0,540000.0,1.0
114.0,3.0,2.0,1.0,0.0,7.0,7.0,360000.0,0.0
242.0,4.0,2.0,1.0,0.0,4.0,10.0,469000.0,1.0
207.0,4.0,3.0,1.0,1.0,6.0,5.0,1450000.0,1.0
186.0,3.0,2.0,1.0,1.0,6.0,5.0,899100.0,3.0
76.0,3.0,2.0,1.0,1.0,1.0,13.0,250000.0,2.0
63.0,2.0,2.0,1.0,1.0,2.0,4.0,325000.0,1.0
